repo	file_name	file_volume	file_type	total_volume	num_of_drafts	main_file_type
draft-ietf-add-split-horizon-authority	draft-ietf-add-split-horizon-authority.xml	{'draft-ietf-add-split-horizon-authority.xml': 24}	{'xml': 24}	24	1	xml
draft-ietf-add-svcb-dns	draft-schwartz-svcb-dns.md draft-ietf-add-svcb-dns.md	{'draft-schwartz-svcb-dns.md': 8, 'draft-ietf-add-svcb-dns.md': 20}	{'md': 28}	28	2	md
draft-ietf-add-requirements	draft-add-requirements.md	{'draft-add-requirements.md': 10}	{'md': 10}	10	1	md
constrained-voucher	constrained-voucher.mkd constrained-voucher.xml	{'constrained-voucher.mkd': 242, 'constrained-voucher.xml': 16}	{'mkd': 242, 'xml': 16}	258	2	mkd
anima-brski-prm	draft-ietf-anima-brski-prm.md	{'draft-ietf-anima-brski-prm.md': 16}	{'md': 16}	16	1	md
anima-brski-ae	draft-ietf-anima-brski-async-enroll.xml draft-ietf-anima-brski-ae.md	{'draft-ietf-anima-brski-async-enroll.xml': 6, 'draft-ietf-anima-brski-ae.md': 2}	{'xml': 6, 'md': 2}	8	2	xml
brski-cloud	anima-brski-cloud.md	{'anima-brski-cloud.md': 36}	{'md': 36}	36	1	md
autonomic-control-plane	draft-ietf-anima-autonomic-control-plane.xml	{'draft-ietf-anima-autonomic-control-plane.xml': 6}	{'xml': 6}	6	1	xml
anima-bootstrap	dtbootstrap-anima-keyinfra.xml	{'dtbootstrap-anima-keyinfra.xml': 24}	{'xml': 24}	24	1	xml
acme	draft-ietf-acme-acme.md draft-ietf-acme-acme.clean.xml draft-ietf-acme-acme.xml draft-ietf-acme.md rfc8555.src-clean.xml rfc8555.edited.xml	{'draft-ietf-acme-acme.md': 668, 'draft-ietf-acme-acme.clean.xml': 10, 'draft-ietf-acme-acme.xml': 10, 'draft-ietf-acme.md': 4, 'rfc8555.src-clean.xml': 10, 'rfc8555.edited.xml': 2}	{'md': 672, 'xml': 32}	704	6	md
